 Count  Overhead File                    Line Function
   118         0 @Compiler/…ractinterpretation.jl 4356 typeinf_local(interp::Compiler.Na…
   118         0 @Compiler/…ractinterpretation.jl 3806 abstract_eval_basic_statement
   121       121 @NCTSSoS/…c/types/arithmetic.jl    ? _simplified_to_terms(::Type{Pauli…
   121         0 @SymbolicWedderburn/…inimal_projections.jl  168 minimal_projection_system(chars::…
   122       122 @Base/array.jl          194 size
   122        58 @Base/broadcast.jl      559 check_broadcast_shape
   122         0 @Base/array.jl         1480 resize!(a::Vector{UInt8}, nl_::In…
   122         0 @NCTSSoS/…imization/symmetry.jl 2108 _accumulate_reduced_term!(acc::Di…
   122         0 @Base/complex.jl        343 *
   123         0 @Base/ordering.jl       121 lt
   123         0 @Base/promotion.jl      434 *
   123         0 @NCTSSoS/…imization/symmetry.jl  507 _act_monomial(g::CliffordSymmetry…
   125         0 @Base/abstractarray.jl 1069 copyto!(dest::SubArray{UInt8, 1, …
   126         1 @Compiler/…ractinterpretation.jl 4514 typeinf(interp::Compiler.NativeIn…
   127         0 @Base/sort.jl           839 _sort!(v::Vector{UInt8}, ::Base.S…
   134         0 @SymbolicWedderburn/src/image_basis.jl   96 image_basis!(A::SparseArrays.Spar…
   134        17 @SparseArrays/src/solvers/spqr.jl  195 qr(A::SparseArrays.SparseMatrixCS…
   135         0 @Base/iterators.jl      196 iterate
   137         0 @NCTSSoS/…tion/moment_linear.jl   81 _assert_linear_moment_form_invari…
   139         0 @Base/range.jl          688 isempty
   140         0 @NCTSSoS/…imization/symmetry.jl 1844 _lazy_orbit_reduce!(reducer::NCTS…
   141         0 @Base/range.jl           22 Colon
   141         0 @Base/range.jl           24 _colon
   141         0 @Base/range.jl          391 StepRange
   141        63 @Base/range.jl          336 StepRange
   143       143 @Base/complex.jl         14 Complex
   143         0 @Compiler/src/typeinfer.jl 1440 typeinf_ext_toplevel
   144        59 @Base/range.jl          917 iterate
   146       139 @Base/abstractarray.jl 2997 isequal
   147         0 @NCTSSoS/…c/types/arithmetic.jl  494 adjoint(p::Polynomial{PauliAlgebr…
   149         6 @NCTSSoS/…mplification/pauli.jl  163 simplify!(::Type{PauliAlgebra}, w…
   149         0 @Base/operators.jl      472 >=
   152       152 @Base/float.jl          624 <=
   153         0 @NCTSSoS/…imization/symmetry.jl 2147 _transformed_entry_from_sparse_su…
   156         9 @Base/math.jl           751 _hypot
   157         0 @Base/iterators.jl      197 iterate
   158         0 @Base/dict.jl           238 ht_keyindex(h::Dict{NormalMonomia…
   163         0 @SymbolicWedderburn/src/sa_basis.jl  242 _symmetry_adapted_basis(T::Type, …
   166        42 @Base/abstractarray.jl 3579 hash(A::Vector{UInt8}, h::UInt64)
   172       172 @Base/float.jl          496 -
   172         0 @Base/dict.jl           159 rehash!(h::Dict{NormalMonomial{Pa…
   173       173 @Base/abstractarray.jl 1079 copyto_unaliased!(deststyle::Inde…
   176         0 @Base/iterators.jl      435 _zip_iterate_some
   176       176 @Base/essentials.jl       ? getindex
   177         0 @Compiler/src/optimize.jl 1002 optimize(interp::Compiler.NativeI…
   177         0 @Compiler/src/optimize.jl 1027 run_passes_ipo_safe
   177         1 @Compiler/src/optimize.jl 1013 run_passes_ipo_safe(ci::Core.Code…
   185         0 @Compiler/src/typeinfer.jl  202 finish_nocycle(::Compiler.NativeI…
   188         0 @NCTSSoS/…imization/symmetry.jl 2145 _transformed_entry_from_sparse_su…
   189         0 @Base/anyall.jl         123 _any
   190       190 @Base/array.jl            ? _simplified_to_terms(::Type{Pauli…
   195        39 @Base/sort.jl           840 _sort!(v::Vector{UInt8}, ::Base.S…
   196         0 @Compiler/…ractinterpretation.jl 4521 typeinf(interp::Compiler.NativeIn…
   198         0 @Base/range.jl          776 length
   199         0 @Base/operators.jl      321 !=
   204         3 @Base/sort.jl          1165 _sort!(v::Vector{Vector{UInt8}}, …
   204         0 @NCTSSoS/…c/types/arithmetic.jl  491 adjoint(p::Polynomial{PauliAlgebr…
   205        85 @Base/abstractarray.jl 3580 hash(A::Vector{UInt8}, h::UInt64)
   208         0 @Base/sort.jl          1380 _sort!(v::Vector{NormalMonomial{P…
   211        17 @NCTSSoS/…tion/moment_linear.jl   15 key_lt
   211         0 @NCTSSoS/…imization/symmetry.jl 1877 _chop_polynomial(poly::Polynomial…
   215        25 @NCTSSoS/…imization/symmetry.jl 2107 _accumulate_reduced_term!(acc::Di…
